layer,LU,FI,EE,V,OP,BS
1080,RESERVE,0,0,B,0,0
1081,RESERVE,0,0,B,0,0
1082,GREENERY,0,4,D,0,0
1083,GREENERY,0,0,F,0,0
1084,GREENERY,0,0,D,0,0
1085,GREENERY,0,0,D,0,0
1087,BUSINESS,0,2,B,0,0
1088,BUSINESS,0,2,A,201.180007,0
1089,BUSINESS,0,15,B,1215.387277,4
1090,RESERVE,0,0,G,1021.030028,2
1091,GREENERY,0,32,E,27.48036,0
1092,GREENERY,0,0,E,0,0
1093,GREENERY,0,0,E,2294.956102,0
1094,RESERVE,0,0,D,1097.043678,0
1095,RESERVE,0,0,D,0,0
1096,RESERVE,0,0,D,0,0
1097,RESERVE,0,0,D,0,0
1098,RESERVE,0,0,D,61.039601,0
1099,TRANSPORTATION,0,0,B,1664.557736,0
1100,RESERVE,0,0,D,0,0
1101,RESERVE,0,0,F,0,0
1102,RESERVE,0,0,D,0,0
1103,RESERVE,0,0,E,0,0
1104,RESERVE,0,0,B,0,0
1105,RESERVE,0,0,B,0,2
1106,RESERVE,0,1,B,0,0
1107,RESIDENTIAL,8,16,B,385.392382,5
1108,RESIDENTIAL,8,28,B,934.252715,6
1109,RESIDENTIAL,0,19,B,0,2
1110,RESIDENTIAL,12,23,B,0,4
1111,RESIDENTIAL,0,0,D,0,1
1112,RESERVE,0,0,F,0,0
1114,TRANSPORTATION,0,8,G,530.841039,1
1115,TRANSPORTATION,0,0,A,0,2
1116,TRANSPORTATION,0,0,F,0,0
1117,RESERVE,0,0,G,0,0
1118,TRANSPORTATION,0,0,C,0,0
1119,RESERVE,0,0,B,211.922487,0
1120,RESERVE,0,0,B,0,0
1121,BUSINESS,0,0,B,0,0
1122,COMMERCIAL,0,0,G,0,0
1123,RESIDENTIAL,0,0,G,0,0
1124,RESIDENTIAL,1,0,G,0,1
1125,RESIDENTIAL,0,14,G,0,0
1128,RESERVE,0,0,G,0,0
1129,RESERVE,0,0,D,0,0
1130,RESERVE,0,0,D,0,0
1131,RESERVE,0,0,D,0,0
1132,RESERVE,0,0,D,0,0
1133,RESERVE,0,0,D,0,0
